Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,r_yn,spark_yn,aws_yn,excel_yn
Data Scientist II,Employer Provided Salary:$83K - $110K,"Data Scientist II
WEX is an innovative payments and technology company leading the way in a rapidly changing environment. Our goal is to simplify the business of running a business for our customers and free them to spend more time, with less worry, on the things they love. We are on a journey to build a unified, world class user experience across our products and services and leverage customer driven innovation to power our growth and strategic initiatives.
This is a really exciting time to be working in Data & Analytics at WEX. We are driving towards our True North vision of providing the right data, in the right place, at the right time so that we can enable and accelerate the journey to being a data-driven organization. There is strong executive support for all things data and it is viewed as a critical component for our enterprise transformation activities. What we need now is someone with a passion for solving problems and driving actionable outcomes with data. You will do this through performing and developing the following competencies: Insights Driven, Stakeholder Aligned, Results Focused, Dynamic Collaboration, Quality Mindset.
What you’ll do:
The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.
Salary Pay Range: $82,500.00 - $110,000.00",3.7,"WEX Inc.
3.7","Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,1,83,110,96.5,WEX Inc., ME,40,0,0,0,0,0
Data Scientist I,$101K - $145K (Glassdoor est.),"Data Scientist I
Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 29,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.",3.9,"UST
3.9","Santa Clara, CA",10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,0,101,145,123.0,UST, CA,24,0,0,0,0,0
Data and Applied Scientist II,Employer Provided Salary:$94K - $183K,"Are you interested in a start-up like environment, Cloud Computing technology, and driving growth in one of Microsoft’s core businesses? Do you aspire to be part of a team relentlessly focused on customer needs, market expansion and advancing Microsoft Cloud’s first strategy? If yes, look no further than the Azure Global Team.

We offer engaging and motivating work where you’ll be empowered to make an impact. You will have the independence and hybrid working flexibility you need. An astute and diverse work culture is at the core of our team and broader group. We are an international team, dedicate to life-long learning, that believe in data-based decision making to identify and solve problems. We take a holistic approach to problem solving and are trusted believers of collaborations to harness our diverse experience, and capabilities to deliver impact.

Customers and analysts recognize Azure’s tremendous momentum which continues month over month. To help customers achieve their goals, Azure continues to build the largest global footprint of any Cloud provider. The Azure Global Long-Range Planning Data Science team delivers Microsoft’s Long Range Infrastructure plan using state of the art econometric/ML models, risk simulations and business intelligence. We are hiring an exceptional Data and Applied Scientist to focus on creating cutting edge econometric/ Machine Learning demand and capacity need models with focus on Microsoft SaaS (Software as a Service) offerings. This position will focus specifically on the graphics processing unit (GPU) forecasting to support the Artificial Intelligence (AI) needs for Microsoft and OpenAI. Additionally, they will have to be able to leverage their software engineering skills to connect to various upstream and downstream systems ensuring the forecasting plan matches the execution.",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,1,94,183,138.5,Microsoft, WA,48,0,0,0,0,0
Data Scientist - AI/ML (remote),Employer Provided Salary:$110K - $159K,"JOB DESCRIPTION
Do you have a passion for machine learning / deep learning? Are you excited about using your skills to help individuals improve their health?

Our Data Science team applies Advanced Analytics, Artificial Intelligence and Machine Learning to produce solutions that reduce customer healthcare costs and improve outcomes and business processes.
ROLE SUMMARY

Your work will require deep acquaintance with MultiPlan’s data, seeking to find ways to deliver value through advanced feature engineering. From your models you will deliver actionable insights that can be incorporated into existing products as well as new programs. As a data scientist part of a cross functional team you will work closely with Data & Engineering to deliver production ready code that is robust and ready to scale.

The ideal candidate for this role will have strong coding skills (preferably in Python), a passion for creating technology to improve health care, and an attitude of creativity and continual learning.",3.8,"MultiPlan Inc.
3.8",Remote,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110,159,134.5,MultiPlan Inc.,Remote,43,1,0,0,0,0
Data Scientist 2,$100K - $154K (Glassdoor est.),"Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement.

Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.",3.9,"Oracle
3.9","Los Angeles, CA",10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,0,100,154,127.0,Oracle, CA,46,0,0,0,0,0
Data Scientist - All Levels,$72K - $113K (Glassdoor est.),"Description
The Data Scientist will act in a consultant capacity for assessments of data science requests. Data Scientist to conduct hands-on machine learning. Required Skills

Demonstrated experience with the following:
Experience with Python, R, MATLAB, SQL, and DS tools (PyTorch, TensorFlow, Pandas, etc.).
Familiarity with virtualized data science environment preferred.
Creating user friendly repo rts using various databases, programs, and scripts.
About Silver Edge
Map a new path to mission accomplished. SilverEdge Government Solutions was founded on the belief that nurturing talent and collaborating closely with our customers enables us to think big and deliver the best for our country. Our mission is to bring top technology talent together to solve the world’s most challenging problems while protecting the United States and our allies.
SilverEdge Government Solutions, LLC is an Equal Opportunity Employer and applicants receive lawful consideration for employment without regard to race, religion, color, gender, age, national origin, disability, or veteran status.",-1.0,Silver Edge,"Chantilly, VA",201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,0,0,72,113,92.5,Silver Edge, VA,2024,1,0,0,0,0
"Tech Excellence Data Scientist, Junior",Employer Provided Salary:$58K - $133K,"The Opportunity:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As an aspiring data scientist, you know you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection to cancer research, to national intelligence — you see data scientists turning data into actions and you want to be part of the team.
We have an opportunity for you to develop your analytical skills and establish your career in data science. You’ll join a rigorous training program that combines skills assessments, a comprehensive curriculum, functional mentorship, a capstone analytic challenge, and support to place you on your first data science project. You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends, apply machine learning to train predictive models, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers that inform decisions. Equipped with the foundational data science skills to accelerate your career, you’ll join a team and apply those skills to support our clients’ critical national security missions. Embrace the challenge and join us in driving change through data science.
Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $58,300.00 to $133,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","Norfolk, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,1,58,133,95.5,Booz Allen Hamilton, VA,109,0,0,0,0,0
Data Scientist,$101K - $155K (Glassdoor est.),"About us
Velvetech is an American global software development company headquartered in Chicago, IL. Velvetech has its developers strategically distributed in 10+ global technical job markets to deliver the best in class software engineering and exceptional client services.
We have 20+ years of experience in software and hardware development for clients all around the world, especially for US clients. As an official Microsoft Gold Partner, our company is listed in the top 5 software development companies in Illinois, USA.
US clients are leading trading and financial organizations, insurance companies, large healthcare associations, pharmaceutical and energy companies, equipment manufacturers, hi-tech startups, etc.",4.7,"Velvetech
4.7","Chicago, IL",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,101,155,128.0,Velvetech, IL,2024,0,0,0,0,0
Senior Data Scientist,Employer Provided Salary:$90K - $180K,"Develops and/or uses algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes

Performs analyses of structured and unstructured data to solve multiple and/or complex business problems utilizing advanced statistical techniques and mathematical analyses and broad knowledge of the organization and/or industry

Collaborates with business partners to understand their problems and goals, develop predictive modeling, statistical analysis, data reports and performance metrics

Develops and participates in presentations and consultations to existing and prospective constituents on analytics results and solutions

Interacts with internal and external peers and managers to exchange complex information related to areas of specialization

Use strong knowledge in algorithms and predictive models to investigate problems, detect patterns and recommend solutions

Use strong programming skills to explore, examine and interpret large volumes of data in various forms


The typical pay range for this role is:
Minimum: 90,000
Maximum: 180,000

This pay range represents the base hourly rate or base annual full-time salary for all positions in the job grade within which this position falls. The actual base salary offer will depend on a variety of factors including experience, education, geography and other relevant factors. This position is eligible for a CVS Health bonus, commission or short-term incentive program in addition to the base pay range listed above.

In addition to your compensation, enjoy the rewards of an organization that puts our heart into caring for our colleagues and our communities. The Company offers a full range of medical, dental, and vision benefits. Eligible employees may enroll in the Company's 401(k) retirement savings plan, and an Employee Stock Purchase Plan is also available for eligible employees. The Company provides a fully-paid term life insurance plan to eligible employees, and short-term and long term disability benefits. CVS Health also offers numerous well-being programs, education assistance, free development courses, a CVS store discount, and discount programs with participating partners. As for time off, Company employees enjoy Paid Time Off (PTO) or vacation pay, as well as paid holidays throughout the calendar year. Number of paid holidays, sick time and other time off are provided consistent with relevant state law and Company policies.

For more detailed information on available benefits, please visit


3+ years of relevant analytic experience

Experience programming using R or Python

Experience in SAS or SQL


Demonstrates strong ability to communicate technical concepts and implications to business partners

Anticipates and prevents problems and roadblocks before they occur

Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources

Demonstrates proficiency in most areas of mathematical analysis methods, machine learning, statistical analyses, and predictive modeling and in-depth specialization in some areas


Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.

Master’s degree or PhD preferred


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",3.1,"CVS Health
3.1","Wellesley, MA",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,90,180,135.0,CVS Health, MA,60,1,0,0,0,0
Data Scientist I,Employer Provided Salary:$183K - $221K,"The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.",4.2,"The Trade Desk
4.2","San Jose, CA",1001 to 5000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),0,1,183,221,202.0,The Trade Desk, CA,14,0,0,0,0,0
Bioinformatics Data Scientist,Employer Provided Salary:$100K - $149K,"Join Land O’Lakes, Inc., and help us bring food from farmer to fork. We’re a global, Fortune 250 company and a farmer-owned cooperative. While benefits can vary by location and role, most offer:

Medical, dental, vision, life and AD&D; short- and long-term disability insurance
Retirement savings plan and profit-sharing plan, both with company match
Paid time off and paid holidays, plus paid benefits for maternity and parental leaves
Bioinformatics Data Scientist
Bioinformatics Data Scientist
As a Bioinformatics Data Scientist, you will work closely with a multi-functional team made up of animal science experts and researchers who collaborate and develop innovative products by using cutting-edge bioinformatics, machine learning, and microbiome engineering technology.",4.0,"Land O'Lakes
4.0","Arden Hills, MN",5001 to 10000 Employees,1921,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,1,100,149,124.5,Land O'Lakes, MN,102,0,0,0,0,0
Visualization/Data Scientist,$88K - $137K (Glassdoor est.),"Codes software applications to adhere to designs supporting internal business requirements or external customers. Standardizes the quality assurance procedure for software. Oversees testing and develops fixes.
May require a bachelor’s degree in a related area and 2-5 years of experience in the field or in a related area. Has knowledge of standard concepts, practices, and procedures within Spotfire.
Ability to collaborate with our team to edit and develop custom Visualization reports, dashboards and charts.
2 years Spotfire, Tableau or BI experience
1+ years working with Clinical related data",1.0,"Vita Data Sciences
1.0","Waltham, MA",Unknown,-1,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,88,137,112.5,Vita Data Sciences, MA,2024,0,0,0,0,0
Data Scientist,$72K - $117K (Glassdoor est.),"WHAT YOU'LL DO IN THIS ROLE
The core data science team at DICK'S Sporting Goods is seeking a Data Scientist to support product teams within the technology organization. Currently the team has a variety of work ranging from natural language processing to supply chain optimization, and is looking to continue to expand its footprint.
Machine Learning Applications & Analyses
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build and put into deployment algorithmic solutions that focus on improving the customer’s experience and driving value both in-store and on our website.",3.8,"DICK'S Sporting Goods
3.8","Melville, NY",10000+ Employees,1948,Company - Public,Sporting Goods Stores,Retail & Wholesale,$5 to $10 billion (USD),0,0,72,117,94.5,DICK'S Sporting Goods, NY,75,0,0,0,0,0
Applied Data Scientist,Employer Provided Salary:$70K - $110K,"Job Summary:
Webstaurant Store, the world’s largest online restaurant supply company, is looking for a full-time Applied Data Scientist to join the Analytics team. The Applied Data Scientists are responsible for supplying statistical rigor to the team’s analytics projects, aimed at discovering actionable insights and opportunities for growth and optimization for the organization.
This role can be remote (See below for remote work requirements) or based in one of our offices (Lititz, PA or Tampa, FL).
Responsibilities include, but are not limited to:
Advising on analysis and modeling techniques, selecting the best fit for structured & unstructured, complex data, and developing custom analytics models to generate insights that drive value for our customers and unlock competitive advantage for our organization",3.8,"Webstaurant Store
3.8","Lititz, PA",1001 to 5000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,$500 million to $1 billion (USD),0,1,70,110,90.0,Webstaurant Store, PA,19,0,0,0,0,0
Data Scientist,$114K - $166K (Glassdoor est.),"Who you are
The first Data Scientist at Finrise will play an imperative role in enabling patient financing for out-of-pocket healthcare expenses. You recognize that 56% of Americans with a less than ideal FICO Score need new ways to evaluate creditworthiness in efficient and holistic ways. You’re excited about tackling technical problems that most wouldn’t dare touch. Working with unstructured and nontraditional data doesn’t scare you. Data science, predictive models, and statistics are second nature. You excel in building machine learning systems, conducting foolproof analyses, and leading cross functional projects. While banks are busy evaluating 30-year-old FICO scores, created before a time of the internet and smartphones, you’re building models which will decide who to lend to in real-time. Instead of hiring hundreds of people to manually review, you’re adding new data points to ensure accurate scoring. You’re hands-on, creative, and hyper-analytical. You understand that the ultimate measurement of success is enabling patients to afford care in a time of need, with a fair rate, in terms they understand. At the end of the day, you want to change the way credit is evaluated.",5.0,"Finrise
5.0","Burlingame, CA",1 to 50 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,114,166,140.0,Finrise, CA,8,0,0,0,0,1
Data Scientist,Employer Provided Salary:$70K - $105K,"Job Summary
Under minimal supervision, supports gathering business requirements, identifying data sources, conducting data and statistical analyses, developing systems, and assisting with the visualization and reporting functions of the Denver Public Health (DPH) Department. Responsible for development, implementation, evaluation, data extraction and analysis programming, visualization, and reporting activities related to assigned projects and workgroups. Demonstrates technical and conceptual skills necessary to develop system solutions for Public Health projects using appropriate data systems. Provides support in database design and architecture, database management, and data modeling for the creation and integration of various Public Health data sources. Performs data integration and interoperability through the identification, acquisition, and aggregation of disparate data sets. Participates and supports project lifecycles through project management and process improvement activities. Assists Public Health clinical and administrative staff with complex systems issues related to data analysis and reporting activities. Coordinates relevant efforts with other Denver Health departments when appropriate.",3.6,"Denver Health
3.6","Denver, CO",5001 to 10000 Employees,1860,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,1,70,105,87.5,Denver Health, CO,163,0,0,0,0,0
Junior Scientific Programmer/Data Scientist,$70K - $105K (Glassdoor est.),"All required qualifications must be documented on application materials.

Required Qualifications:
B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical discipline and 2 years of related experience or a combination of education and experience in a research or technical environment to equal six (6) years.
Experience with Matlab or Python or R.
Experience with SQL or other database technology.
Experience writing code for complex computer programs independently. Please provide a link to samples of your code available online (Github or similar services).
Experience with basic machine learning or statistical methods.",4.2,"University of Minnesota
4.2","Minneapolis, MN",10000+ Employees,1851,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,70,105,87.5,University of Minnesota, MN,172,1,0,0,0,0
Data Scientist I,$81K - $121K (Glassdoor est.),"At Hy-Vee our people are our strength. We promise “a helpful smile in every aisle” and those smiles can only come from a workforce that is fully engaged and committed to supporting our customers and each other.
Job Description:
Job Title: Data Scientist
Department: Information Technology
FLSA : Exempt
General Function
As a Data Scientist , you will focus on applying statistical analysis and machine learning techniques to our data in order to drive smarter decisions and better solutions to business units and customers. Our data scientists work on all parts of the data science workflow: from collecting, cleaning, analyzing the data to coding, optimizing, and deploying the models they build. You will have the chance to work on a huge variety of projects coming from diverse business units across the company, such as marketing, supply chain and pharmacy.",3.4,"Hy-Vee, Inc.
3.4","West Des Moines, IA",10000+ Employees,1930,Company - Private,Grocery Stores,Retail & Wholesale,$5 to $10 billion (USD),0,0,81,121,101.0,"Hy-Vee, Inc.", IA,93,0,0,0,0,0
Junior AI Engineer,$70K - $109K (Glassdoor est.),"You…
You are passionate about creative applications of AI to seemingly intractable problems. You love impacting the mission of the US Intelligence Community, Department of Defense, and other US government agencies. You are not only a big thinker but also a doer, creator, and engineer.
Us…
We were founded as a fresh alternative in the Government Consulting Community and are dedicated to the belief that results are a product of analytical thinking, agile design principles and that solutions are built in collaboration with, not for, our customers. This mantra drives us to succeed and act as true partners in advancing our client’s missions.
Program Mission…",4.2,"Octo
4.2","Reston, VA",1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),0,0,70,109,89.5,Octo, VA,17,0,0,0,0,0
RGM Data Scientist,$96K - $144K (Glassdoor est.),"Beam Suntory is Crafting the Spirits that Stir the World. Rooted in two centuries of family heritage, Beam Suntory has evolved into the world's third largest leading premium spirits company ... where each employee is treated like family and trusted with legacy. With our greatest assets - our premium spirits and our people - we're driving growth through impactful marketing, innovation and an entrepreneurial spirit. Beam Suntory is a place where you can come Unleash your Spirit by making an impact each and every day.

RGM Data Scientist

The following position is open in Illinois, United States.",3.9,"Beam Inc.
3.9","Chicago, IL",5001 to 10000 Employees,2014,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,96,144,120.0,Beam Inc., IL,9,0,0,0,0,0
Associate Data Engineer,Employer Provided Salary:$82K - $136K,"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Technology
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
Salary Range
$82,200.00 - $135,600.00
1
Travelers Data Engineering team constructs pipelines that contextualize and provide easy access to data by the entire enterprise. As an Associate Data Engineer you will aid in growing and transforming our analytics landscape. You will leverage your ability to rapidly grasp and design new technologies, as well as your creativity and curiosity to capture, explore and transform data to support Artificial Intelligence, Machine Learning and business intelligence/insights.

Work arrangement is based on location.",4.0,"The Travelers Companies, Inc.
4.0","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),0,1,82,136,109.0,"The Travelers Companies, Inc.", CT,170,0,0,0,0,0
Scientific Programmer/Data Scientist,$78K - $114K (Glassdoor est.),"All required qualifications must be documented on application materials.
Required Qualifications:
B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical disciplines and 2 years of related experience or a combination of education and experience in a research or technical environment to equal six (6) years.
Experience with R or Matlab or Python. Experience with SQL.
Experience writing code for complex computer programs independently. Please provide a link to samples of your code available online (Github or similar services).
Experience with basic machine learning or statistical methods.
Strong communication skills.",4.2,"University of Minnesota
4.2","Minneapolis, MN",10000+ Employees,1851,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,78,114,96.0,University of Minnesota, MN,172,1,0,0,0,0
Junior Scientific Programmer/Data Scientist,$70K - $105K (Glassdoor est.),"All required qualifications must be documented on application materials.

Required Qualifications:
B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical discipline and 2 years of related experience or a combination of education and experience in a research or technical environment to equal six (6) years.
Experience with Matlab or Python or R.
Experience with SQL or other database technology.
Experience writing code for complex computer programs independently. Please provide a link to samples of your code available online (Github or similar services).
Experience with basic machine learning or statistical methods.",4.2,"University of Minnesota
4.2","Minneapolis, MN",10000+ Employees,1851,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,70,105,87.5,University of Minnesota, MN,172,1,0,0,0,0
Visualization/Data Scientist,$88K - $137K (Glassdoor est.),"Codes software applications to adhere to designs supporting internal business requirements or external customers. Standardizes the quality assurance procedure for software. Oversees testing and develops fixes.
May require a bachelor’s degree in a related area and 2-5 years of experience in the field or in a related area. Has knowledge of standard concepts, practices, and procedures within Spotfire.
Ability to collaborate with our team to edit and develop custom Visualization reports, dashboards and charts.
2 years Spotfire, Tableau or BI experience
1+ years working with Clinical related data",1.0,"Vita Data Sciences
1.0","Waltham, MA",Unknown,-1,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,88,137,112.5,Vita Data Sciences, MA,2024,0,0,0,0,0
Data Scientist I,$101K - $145K (Glassdoor est.),"Data Scientist I
Who we are:
Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.
UST is a mission-driven group of over 29,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.
With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.",3.9,"UST
3.9","Santa Clara, CA",10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,0,101,145,123.0,UST, CA,24,0,0,0,0,0
Data Scientist II,Employer Provided Salary:$83K - $110K,"Data Scientist II
WEX is an innovative payments and technology company leading the way in a rapidly changing environment. Our goal is to simplify the business of running a business for our customers and free them to spend more time, with less worry, on the things they love. We are on a journey to build a unified, world class user experience across our products and services and leverage customer driven innovation to power our growth and strategic initiatives.
This is a really exciting time to be working in Data & Analytics at WEX. We are driving towards our True North vision of providing the right data, in the right place, at the right time so that we can enable and accelerate the journey to being a data-driven organization. There is strong executive support for all things data and it is viewed as a critical component for our enterprise transformation activities. What we need now is someone with a passion for solving problems and driving actionable outcomes with data. You will do this through performing and developing the following competencies: Insights Driven, Stakeholder Aligned, Results Focused, Dynamic Collaboration, Quality Mindset.
What you’ll do:
The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.
Salary Pay Range: $82,500.00 - $110,000.00",3.7,"WEX Inc.
3.7","Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,1,83,110,96.5,WEX Inc., ME,40,0,0,0,0,0
Bioinformatics Data Scientist,Employer Provided Salary:$100K - $149K,"Join Land O’Lakes, Inc., and help us bring food from farmer to fork. We’re a global, Fortune 250 company and a farmer-owned cooperative. While benefits can vary by location and role, most offer:

Medical, dental, vision, life and AD&D; short- and long-term disability insurance
Retirement savings plan and profit-sharing plan, both with company match
Paid time off and paid holidays, plus paid benefits for maternity and parental leaves
Bioinformatics Data Scientist
Bioinformatics Data Scientist
As a Bioinformatics Data Scientist, you will work closely with a multi-functional team made up of animal science experts and researchers who collaborate and develop innovative products by using cutting-edge bioinformatics, machine learning, and microbiome engineering technology.",4.0,"Land O'Lakes
4.0","Arden Hills, MN",5001 to 10000 Employees,1921,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),0,1,100,149,124.5,Land O'Lakes, MN,102,0,0,0,0,0
Data Scientist I,Employer Provided Salary:$183K - $221K,"The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.
Do you have a passion for solving hard problems at scale? Are you eager to join a dynamic, globally-connected team where your contributions will make a meaningful difference in building a better media ecosystem? Come and see why Fortune magazine consistently ranks The Trade Desk among the best small-medium-sized workplaces globally.
The Trade Desk is a global technology company with a mission to create a better, more open internet for everyone through principled, intelligent advertising. Handling over 1 trillion queries per day, our platform operates at an unprecedented scale. We have also built something even stronger and more valuable: an award-winning culture based on trust, ownership, empathy, and collaboration. We value the unique experiences and perspectives that each person brings to The Trade Desk, and we are committed to fostering inclusive spaces where everyone can bring their authentic selves to work every day.",4.2,"The Trade Desk
4.2","San Jose, CA",1001 to 5000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),0,1,183,221,202.0,The Trade Desk, CA,14,0,0,0,0,0
